"","word","mu","alpha","drift","A","B","C","resamplestdev","theta","maxRhat","medianRhat","total.freq","median.daily.p","mean.daily.p","sd.daily.p","freq.acorr","lpcor"
"cor20","coked",-13.6070897797748,0.0855081076094215,0.236720339033315,-1.08532643617473,0.069338592874574,-0.00894341394681588,0.60107940699573,0.00304722883995416,3.30171834361859,1.64104003344231,5.19295685089021,-15.0703305521879,-14.8728207738615,NA,-0.140904528504061,0.822312412920513
"cor21","depth",-9.09421379613714,1.14166130565948,0.241890527379789,-0.496202136046565,0.68006003717109,-0.163149006405626,1.22857715179895,0.00229765521649721,2.68615254107702,1.52358163530432,11.7121287206327,-10.2467391555666,-10.2257514722684,NA,0.579521014369338,0.99052275983265
"cor22","alize",-11.2156440245211,1.32570349948558,0.782155572945674,-1.90270964013282,0.523060220755282,0.0444679055616288,0.669812576674286,0.00396898191064412,1.23276054096254,1.02491350148702,6.40522845803084,-14.6480530919747,-14.3758778109199,NA,0.291754221026767,0.951138750065409
"cor23","bue",-12.201916315252,0.233832246589195,0.387471865657829,-1.75578714345841,0.296915717502013,-0.0683570590808541,0.331035565978766,0.00706851109522782,1.95022452444962,1.01406081247895,6.10702288774225,-14.99867394508,-14.7304327825941,NA,-0.0120150948645303,0.816319573899252
"cor24","both",-6.4676613188542,-2.04139674808546,0.0984147732967141,-0.379277037866524,0.539740325529438,-0.128796836185087,1.26409763486184,0.0101088784443279,3.85423494920205,2.25433542137052,14.4652924082993,-7.43499660271548,-7.44735766446527,NA,0.49869929427969,0.998120296493785
"cor25","bharatbenz",-13.9731280054984,-0.264593146344047,0.209108965355523,-0.576662731673616,0.416349542492417,0.242383069205579,0.643340822862909,0.00194363285395678,5.2189992159652,1.93170559132146,3.17805383034795,-15.21947733792,-15.074276558154,NA,NA,0.943959704074809
"cor26","alamitos",-10.1619261666487,2.18978325453224,1.02416919693575,-2.99595709328325,0.460270087966381,0.0264889851136018,0.700400944391748,0.00437405207376398,1.16509026855392,1.00322524311275,6.79682371827486,-14.6838653007576,-14.4005546516698,NA,0.598456590576819,0.962122550057508
"cor27","compton",-9.51112344914086,1.56446007374335,1.03170045481318,-2.08636056708748,0.58621707884137,-0.0617420921857942,2.00943965024878,0.00276423988774236,2.24648144438733,1.16417458891441,9.49964612554406,-13.0121030997161,-12.9667260271801,NA,0.494897123841228,0.976627325056931
"cor28","answers",-9.32853313396416,0.0718276178084262,0.199275496323332,-0.393917095955737,0.617038375981963,-0.0574114798591154,1.07944276229098,0.00252483580755551,2.69112176671699,1.45531437532315,11.6084356247772,-10.3344657864323,-10.3392499225154,NA,0.515171485431992,0.986263073672521
"cor29","age",-7.71566272275312,0.421444481327975,0.218006477428634,-0.486973178622832,0.588432383722486,-0.123264007795678,1.06101883433732,0.00278898319460797,1.56883006411425,1.10796893193549,13.1706829546746,-8.76087770570436,-8.76330284376018,NA,0.495987293861473,0.995769399586246
"cor30","backes",-10.1966207975648,1.20909481061822,1.10331689595499,-2.28317539234139,0.496814534152456,-0.0958748251187659,2.14160441200694,0.00234083335407116,1.35928359941839,1.01658855207423,7.96693349840484,-13.8341592517614,-13.7127467217934,NA,0.301941521700428,0.979451383351836
"cor31","chipset",-10.6487113690232,0.98188824765451,0.797082812281165,-1.60758882731533,0.474101018944345,-0.13946745050702,1.53149547671136,0.00223328508131222,1.35415580462351,1.02641640014868,9.14281071518258,-13.0258700980136,-13.0729946976229,NA,0.268601300187844,0.964859627619534
"cor32","cerny",-10.996892187728,0.853527360614096,0.770886037772306,-2.85934592921897,0.224753995090287,-0.0706259272523006,0.480478395136515,0.0058444592411773,1.3134741202526,1.01447592286181,6.43294009273918,-14.5818045703591,-14.4252450615258,NA,-0.111334342023793,0.945806713523263
"cor33","aguilar",-10.2429985013311,3.03002813309433,1.28902313112398,-3.17421990098769,0.360682868776253,-0.0466144606416255,1.81469444791737,0.0026236621098231,1.60374201444158,1.05500657765875,8.48177324618498,-13.8874071761618,-13.7639554342756,NA,0.275990086299652,0.966104997843889
"cor34","airman",-10.431823274359,2.95461893185541,1.05199008292387,-3.13048685487119,0.369075137955413,0.0158673804541605,1.86967719532356,0.00457689623421759,1.34695816067196,1.04335962410314,7.76853330092603,-14.2921353438936,-14.1949455726152,NA,0.444382858458347,0.947509483892733
"cor35","despacito",-9.40883586298711,0.405271233731888,1.31764027525677,-2.27256477988374,0.504812409046587,-0.0792085940871773,0.855338147770554,0.0024890876887181,1.16483510529088,1.00775787152263,7.75491027202143,-13.8350310376174,-13.620363835145,NA,0.399122277897427,0.990462337457919
"cor36","boehm",-11.2843492216538,0.699199819412009,0.585961404866309,-2.41904348632995,0.286818875354661,0.0129028827769695,1.35958221050294,0.00804169813907883,1.26581063487977,1.03089957346658,6.58340922215876,-14.7100099744122,-14.5355857298234,NA,0.170766761023661,0.905029456526372
"cor37","amny",-13.8844026492494,0.128451116704532,0.134325966109976,-1.05613095650863,0.0629129502078569,0.0834394490427368,0.743728617171384,0.00206368392717069,2.36991660747344,1.93404353891981,4.74493212836325,-15.1288430207062,-14.9793898991912,NA,0.310482606267638,0.892505283885637
"cor38","deluges",-12.695811259465,0.121524956030227,0.254036367824354,-1.23714837380881,0.279603244597987,0.203070702854033,0.640634802031487,0.00280319103201427,2.94735078452507,1.9550525854584,5.56452040732269,-15.0699822028375,-14.8394348643909,NA,0.612186503116472,0.810339719411532
"cor39","camacho",-10.6000530639538,2.94188298596208,1.16264973147493,-2.90103456196414,0.434937340583158,0.108292893068864,0.988352395667196,0.00429316122597961,1.10461516023817,1.00370758433903,7.69530313496357,-14.4070303263061,-14.1961356189023,NA,0.461773375610998,0.965369574379492
"cor40","bvy",-13.2989693186243,0.267356739472285,0.276300133145364,-1.29793424081267,0.0120294325148268,-0.0337423427454902,0.455415073187787,0.00367988807909586,3.16803432303248,1.34326026270181,5.89440283426485,-14.861161846607,-14.7310695079484,NA,-0.146001577290446,0.7869423085559
"cor41","ayv",-12.0215520370227,0.55603013573962,0.153877773725282,-1.97477892664423,0.266300081407723,-0.136619020098835,0.442225557522802,0.00765738131508204,5.01668517224419,1.37508940790953,6.19644412779452,-14.861161846607,-14.7107162752577,NA,-0.0729468405770005,0.652596027021561
"cor42","baugh",-11.7274998184193,0.608123404253566,0.249650294037359,-1.31989263892959,0.552054936538627,0.100516787127748,0.545008383814469,0.0195466494087822,2.61735424704955,1.10829282139552,6.55819780281227,-14.6498480189592,-14.4730501398445,NA,0.328349807951191,0.791123830060015
"cor43","antiaircraft",-11.5606410505023,0.384552595891515,0.321217769732337,-1.63679404301046,0.471264589488084,0.144116783756888,0.688659287208868,0.00319334673843977,2.28820120133437,1.2765258659657,6.12468339089421,-14.7276209918422,-14.637753438041,NA,0.235023109020466,0.773945665944163
"cor44","clarion",-10.3295168765603,3.1376294519603,1.08174317669188,-3.06740864999484,0.376888308243411,-0.044310381056342,1.81630174399722,0.00528618631328531,1.14522892044414,1.014822093556,8.25088114470065,-14.0665299427241,-14.006686209078,NA,0.226613478390662,0.947312923434307
"cor45","convinces",-11.9641378366796,0.422790454054799,0.349595603845768,-1.37687679958992,0.363200714741145,0.158498527124542,0.909347673756145,0.00823931363535882,1.32599274543544,1.04976826097897,7.86748856869913,-14.0905115644974,-14.1426807764557,NA,0.190488920903599,0.818140256392372
"cor46","calibre",-11.9588463794761,2.37301752081718,0.664867353011364,-1.81023537749928,0.398340921653644,-0.0924882320568131,1.30928094946345,0.00227493508323055,2.58141266218229,1.43916592507238,7.62021477057445,-14.3065367683779,-14.2855888664066,NA,0.215604167776574,0.899477630667348
