word,mu,scale,A,B,C,theta,jump,maxRhat,medianRhat,lastRhats,divergent,total.freq,median.daily.p,mean.daily.p,sd.daily.p,freq.acorr,lpcor
strauss/nnp,-12.87243316,0.681471636,-0.582584122,0.389715116,-0.062516261,1.423465646,2.206928201,2.388992684,1.000009699,1.009684387,171,9.29468152,-13.2166158,-13.16238899,1.044573318,0.196767183,0.968962283
straw/nn,-13.06167709,0.459380984,0.095326321,0.709867607,-0.065767549,0.93247889,0.496665694,1.018538241,1.000278297,1.018538241,1,8.922791624,-13.03114681,-13.07243268,0.669149047,0.358715436,0.92761919
stray/jj,-13.1619716,0.531370752,0.067843461,0.551512128,0.004198293,2.169204935,1.417642689,1.676673649,1.027427326,1.328287222,1218,8.868835493,-13.1775005,-13.17643577,0.801166663,0.356387938,0.94989723
streak/nn,-9.890273489,0.344360897,-0.326103066,0.642562657,0.049729406,4.634988352,0.980295471,1.007502302,1.001457472,1.003555229,0,11.82585853,-10.06513706,-10.04042748,0.477392275,0.613817767,0.978770482
streaks/nns,-13.17012669,0.521302796,0.105069488,0.692637097,-0.062810435,1.37975994,0.412856773,1.005056158,1.000106482,1.005056158,0,8.855663431,-13.12911454,-13.1536,0.730050785,0.444087913,0.93873946
streamed/vbd,-12.89533797,0.407524784,-0.17479446,0.572529456,-0.070200801,2.15277326,2.248970791,1.005313318,1.000092812,1.005313318,0,9.00540504,-13.01277397,-13.0354652,0.706245761,0.486820733,0.935805081
streamed/vbn,-12.74866041,0.320595761,-0.036961911,0.647173726,-0.070097173,0.372482998,1.973169013,2.365609851,1.002330214,1.034279157,13,9.166388484,-12.75335652,-12.82829128,0.658924149,0.264889684,0.955969342
streaming/nn,-11.37199391,0.422371765,0.176422743,0.472633723,0.082723422,3.315189707,1.310069903,1.016323737,1.000193003,1.016323737,0,10.65850564,-11.30050845,-11.29699421,0.54441182,0.417233395,0.98288481
stream/nn,-10.79830397,0.549489352,0.363264145,0.985980509,-0.149791052,-0.390855291,0.350729583,1.017807979,1.000064785,1.017807979,0,12.07829609,-10.5717511,-10.4036935,0.788748573,0.848001229,0.990078963
stream/nnp,-12.83801524,0.649403227,0.689992516,0.911819178,-0.234879083,0.483461951,0.326537992,1.009990625,1.000009844,1.009990625,0,9.95612744,-12.45160299,-12.38245108,0.877130572,0.868465775,0.952852027
