day,lpobs,mu,low,high
0,-8.087195113146585,-8.115924508315832,-8.161495418805774,-8.071477215532049
1,-8.740935054272432,-8.738638489684933,-8.763439638500497,-8.713388392102113
2,-8.77507857619112,-8.769285265803436,-8.799698026756321,-8.738945137721773
3,-8.714855195159489,-8.712220800455272,-8.737987720728752,-8.687136808221208
4,-8.559008216527891,-8.570861862115603,-8.593912260591374,-8.547374310538071
5,-8.963442249977337,-8.946017051464235,-8.970887242167322,-8.92093373707708
6,-8.520947616216432,-8.5372860310234,-8.559794111387927,-8.515507221485356
7,-8.622563897952924,-8.627997937929406,-8.649721963534123,-8.606618708809687
8,-8.94160810644664,-8.925966791752646,-8.952873946829927,-8.89696317546646
9,-8.776987736584518,-8.795540593790658,-8.823585433313113,-8.766918613710613
10,-9.003267102080024,-8.981680112477694,-9.012375638027963,-8.949462135224397
11,-8.76928453229921,-8.786598945705052,-8.810494126748695,-8.763626331668817
12,-8.985235982028335,-8.97565488319184,-9.00042817240636,-8.950937447392471
13,-8.936448490536376,-8.93816266943746,-8.964369861500987,-8.9129992377751
14,-8.914287641723556,-8.917380322167562,-8.941621297517077,-8.892991208761748
15,-8.916134936144852,-8.928171256874645,-8.955631538748671,-8.90069903066874
16,-9.292671092291497,-9.253825524235875,-9.286869157281219,-9.220813195744684
17,-9.052014364551013,-9.054532066214916,-9.084860949160182,-9.023782272740128
18,-8.848429260773814,-8.855767551161202,-8.879045412543705,-8.831266875861989
19,-8.758883234457096,-8.759844191707087,-8.78263614207235,-8.736445099182166
20,-8.658411498099454,-8.667424039410829,-8.688555043934464,-8.645555536394186
21,-8.850734576438217,-8.8380791168605,-8.861024167311713,-8.814654009856202
22,-8.710210390017403,-8.722675754653316,-8.747246614225478,-8.697800250354993
23,-9.107727692543131,-9.081136113234214,-9.116312090155233,-9.04547416581804
24,-8.903283023208475,-8.90816190609652,-8.939023022577231,-8.878304940268931
25,-8.782961637461185,-8.795144171681153,-8.821516320033059,-8.769420745540108
26,-8.925262646457025,-8.925467890419542,-8.950954892434629,-8.898138861427077
27,-9.046198632266622,-9.037541629694937,-9.065670652359337,-9.007364639627015
28,-8.977861431079146,-8.985969114765702,-9.015692952881215,-8.957337269957332
29,-9.027307179392878,-9.041608082442744,-9.077938252222072,-9.004494615307987
30,-9.322901092643646,-9.2779374917935,-9.313607586406816,-9.241561596222965
31,-9.049790348391477,-9.049160721876826,-9.083724268673542,-9.015618031812325
32,-8.816801489986121,-8.827053130147226,-8.853788503976089,-8.801203640097157
33,-8.742893976548231,-8.753491199603323,-8.77869826326896,-8.72725304007091
34,-8.8962202539372,-8.888223476520409,-8.916638169734574,-8.858619123818144
35,-8.869950414387478,-8.879626119061841,-8.906213897286932,-8.852454898679936
36,-9.010644421995414,-9.01133426674859,-9.042147239078233,-8.978960275815583
37,-9.140591739613036,-9.11313389563282,-9.14927786425754,-9.076759724773172
38,-8.928436445634075,-8.936455850996795,-8.968265675686085,-8.90284542890954
39,-8.845436922617065,-8.853438071936889,-8.877957757608002,-8.828505650545992
40,-8.912147833521079,-8.905648094239924,-8.93009320043685,-8.880940602576342
41,-8.791012307901047,-8.79743527754273,-8.821340651461938,-8.773373161758894
42,-8.821941819750585,-8.817628766609644,-8.842363249530258,-8.79335066600253
43,-8.696340520272607,-8.707301544826677,-8.731215637375218,-8.684693693327661
44,-8.797108175639961,-8.783755782244418,-8.811832993058022,-8.75568633703314
45,-8.658468776729581,-8.671740090102427,-8.700333711106351,-8.641330002042226
46,-8.745240806238,-8.746269365649836,-8.769141945104094,-8.723288442512409
47,-8.879475349674305,-8.865186628767066,-8.890500002222094,-8.83903942440756
48,-8.704692831520083,-8.708441895740908,-8.731062169622621,-8.685179558810066
49,-8.596195797932488,-8.607263026122894,-8.62821543816902,-8.586560644242233
50,-8.770497118258989,-8.772854654920192,-8.798242032932588,-8.74741077554121
51,-9.019354263396977,-8.993205324085062,-9.02154704629539,-8.963729123311355
52,-8.598642294267668,-8.623138982952636,-8.649182379498079,-8.596287930904575
53,-8.726470583054557,-8.723327449553699,-8.750224502293314,-8.696235014119074
54,-8.742586858418816,-8.73604417054037,-8.759106534972565,-8.713095126774798
55,-8.603976185992328,-8.614797086566023,-8.637102913569596,-8.591633697630334
56,-8.70092274162451,-8.700920576493266,-8.726273416581215,-8.675886591687796
57,-8.77193893360281,-8.774453050618343,-8.799812666923593,-8.748337006368489
58,-9.222288499633093,-9.187467824307108,-9.22694060460434,-9.14647907813012
59,-8.81834986181738,-8.834464155503614,-8.861785888431672,-8.80701425162388
60,-8.773603512203422,-8.783039938710617,-8.809926638202775,-8.757655066217922
61,-8.952086301924732,-8.946377223209437,-8.97214087955474,-8.92012383797748
62,-8.960831742747274,-8.956999825812069,-8.981993804405338,-8.93236362362016
63,-8.879328606062142,-8.880514888349756,-8.908005787908916,-8.852617650350531
64,-8.765290881289243,-8.776945607598321,-8.802566838868898,-8.752015760492396
65,-9.040298280104565,-9.022965434092434,-9.05638524193877,-8.98923776822345
66,-8.950220938929371,-8.94459330896067,-8.975248827585071,-8.914473371708663
67,-8.784746313940888,-8.789503315692183,-8.814927459451356,-8.765337173464804
68,-8.710440607382981,-8.718338162991929,-8.74217443659234,-8.694672888244206
69,-8.824659769020323,-8.823555680593582,-8.847777789935622,-8.798795962827565
70,-8.89122970289893,-8.8935539203679,-8.918779658562933,-8.867550702907582
71,-9.013591746433999,-9.01004822237411,-9.037949947999788,-8.981578304118033
72,-9.07510757170384,-9.063355320092418,-9.096768708243305,-9.030568935472992
73,-8.982864456810937,-8.983459728325531,-9.015463931360767,-8.950374293681866
74,-8.885771465479676,-8.876838146591902,-8.903256485006276,-8.849773331985844
75,-8.562912741309349,-8.583284281165128,-8.606786995669161,-8.558907834269533
