day,lpobs,mu,low,high
0,-11.790963179754272,-11.702615117800764,-11.940302743727162,-11.447067827734255
1,-12.01807978726461,-11.937632099234051,-12.053734290183172,-11.818291336982483
2,-11.476656262787714,-11.603334897609653,-11.724054646248405,-11.485358785801193
3,-12.307590788720521,-12.162351302775635,-12.302266846500968,-12.02009857090157
4,-12.163146442186738,-12.113583492356268,-12.229623970600088,-11.982049346781428
5,-11.18574651171058,-11.260368692084716,-11.346971486366554,-11.175037464478056
6,-12.327610105986752,-12.11321606207627,-12.23515840998849,-11.989901211339923
7,-11.441558993006861,-11.470532333982359,-11.563023587921522,-11.377188975320896
8,-11.173498199883204,-11.251887403132224,-11.336830863466215,-11.16531483100409
9,-12.566843108038455,-12.386874130153936,-12.527454651788398,-12.23775623388957
10,-13.110034184300682,-12.771588063675763,-12.924774459361547,-12.613032417048064
11,-12.221175028276884,-12.306868656916441,-12.441748298919535,-12.167007590002022
12,-10.590011881356624,-10.615135551415891,-10.674724201253037,-10.554280738230254
13,-11.819483458368687,-11.72283750304761,-11.819021151178521,-11.622314502574278
14,-11.278430627717034,-11.326620386988992,-11.40564573817956,-11.246317280403016
15,-11.665428095781111,-11.666908536115475,-11.769100735351495,-11.562418803945004
16,-12.010671624246875,-11.892814864352992,-12.021029540933789,-11.754538774298988
17,-11.046191254576161,-11.128456658127996,-11.216416441099021,-11.034770042587553
18,-11.66831894363156,-11.669603357463073,-11.761823570392307,-11.572802700730941
19,-12.22603858391105,-12.107831539341932,-12.228752222304383,-11.980451553467073
20,-11.701712188572555,-11.702618041499147,-11.80147700388837,-11.60250788204007
21,-11.222312540919216,-11.2637824776638,-11.342381837309834,-11.179900020728365
22,-11.48686691447651,-11.471995550913123,-11.558458173946594,-11.378649753427133
23,-11.364850411460418,-11.395249953263104,-11.499533361348357,-11.291155070750799
24,-11.63813141746541,-11.600463967272916,-11.712459043716418,-11.489508001992915
25,-11.417449271386378,-11.441778949071299,-11.528556255475968,-11.350478610177136
26,-11.476442423194804,-11.52321342391712,-11.615429387309057,-11.427353221458304
27,-12.029352123613753,-12.057900433370204,-12.170327926286618,-11.930954913603937
28,-12.987464764846157,-12.670439615462776,-12.835970258247434,-12.512069328301948
29,-12.569875514235893,-12.52764772479092,-12.689943762477412,-12.368973193411586
30,-12.14567955940728,-12.189309250057343,-12.332884361228746,-12.039641985201227
31,-11.943081816390976,-12.004905761348262,-12.139228117462718,-11.865109961327343
32,-12.152401589162462,-12.071085977544294,-12.192154653265943,-11.943457808379769
33,-11.407593736776827,-11.429305151824762,-11.524795787498423,-11.330435680481752
34,-11.055083963400973,-11.13579953542943,-11.224922364307877,-11.045703386932422
35,-12.368350124005996,-12.163112276190157,-12.297224498604471,-12.026928200233106
36,-12.202491574475696,-12.134710712250008,-12.290284003801847,-11.960207827552956
37,-10.993411465602337,-11.078005295304633,-11.182494982007618,-10.972039113264676
38,-11.631536141576428,-11.606486444107958,-11.713008383118025,-11.492682673440036
39,-11.933339655970713,-11.863272347435602,-11.971671626110453,-11.74861196179363
40,-11.402989218828894,-11.404688745214957,-11.489602274868012,-11.317008340538143
41,-10.752965581796936,-10.774885437077955,-10.840256751665288,-10.710311226175985
42,-10.811976773714836,-10.791980455580894,-10.861197401549871,-10.719897989630839
43,-10.095126369286525,-10.122686466939914,-10.171588010790131,-10.071760469976889
44,-11.069702554950325,-11.02295735150938,-11.111586908016944,-10.930362713814825
45,-10.957343290327092,-10.977123547754037,-11.067936179348358,-10.88577196197227
46,-11.14719837304525,-11.116270415056,-11.195983213661167,-11.033877399900684
47,-10.495449233088191,-10.536216342331185,-10.596578313813872,-10.473468819679693
48,-11.646496763048518,-11.608109716141156,-11.705336146950229,-11.507212449900125
49,-11.896651609793112,-11.8271647801531,-11.93657128432039,-11.714786413535052
50,-11.093988896072348,-11.13811241515385,-11.218287221378013,-11.056280280265725
51,-11.336123991382978,-11.375236639373556,-11.466752807624257,-11.283543137333835
52,-12.162358605427599,-12.029249101068451,-12.155780729080671,-11.895582817430688
53,-11.972183061876317,-12.018875530626287,-12.131787170098296,-11.895538928933542
54,-12.278703557980343,-12.219688135205923,-12.341658818501738,-12.093076747098367
55,-12.106777034434597,-12.068852434621284,-12.182933850346318,-11.950251607005345
56,-11.536933290301787,-11.56594029479002,-11.665817553829404,-11.46360935967414
57,-11.23087009698755,-11.292236203226725,-11.385190748917502,-11.20083401260974
58,-11.889516706215048,-11.818026997406852,-11.943688574313342,-11.69132759443902
59,-11.95384407774653,-11.870696266793166,-12.002713214396096,-11.725552501980152
60,-11.408278073663586,-11.407936087997129,-11.498806093547415,-11.314772629622276
61,-10.35054414923782,-10.384541145591312,-10.443708954291756,-10.32523913455491
62,-11.146379790421658,-11.174020051465488,-11.255225384242488,-11.093008365880346
63,-12.507583438359642,-12.263622241356138,-12.386574004254843,-12.135034954708425
64,-12.020636385938834,-12.034399361336412,-12.151520426759129,-11.914964080609016
65,-11.74578108570153,-11.83213089238579,-11.955819555723043,-11.70769637816191
66,-12.151159063110905,-12.128884579504525,-12.263594856272222,-11.9912337882616
67,-12.404162861306576,-12.297266714274654,-12.42701003195611,-12.158448050471929
68,-11.45325366713404,-11.474875711414375,-11.56900950224885,-11.377091574005084
69,-11.164767301337458,-11.20448122524718,-11.280748982696961,-11.124497218507676
70,-11.577300997282364,-11.608443949050264,-11.709982077372235,-11.50404255466356
71,-12.488476843887312,-12.261210975193599,-12.382626930727263,-12.128356737891634
72,-11.316907773628763,-11.39850739856824,-11.511080663879506,-11.288193669890457
73,-11.669253161131968,-11.680194389037768,-11.789112581827524,-11.565836621408994
74,-12.04355959836804,-11.954859651041255,-12.074698473978163,-11.83288517102712
75,-11.019648514130653,-11.066282621140616,-11.146563626465571,-10.987724033495182
76,-11.399496374622808,-11.384927222016222,-11.469013837640407,-11.29563855094826
77,-11.388028434753235,-11.438857248502543,-11.524446652795916,-11.344859874243049
78,-12.34311107574747,-12.152692748058366,-12.272823666819212,-12.020485405444544
79,-11.823122170179179,-11.834416888436122,-11.954495575350172,-11.70055289410307
80,-11.48061950486477,-11.479381590296073,-11.59334644204656,-11.363091983825285
81,-10.922805880927173,-10.9767901168654,-11.055917670390775,-10.896503599839583
82,-11.40179649185475,-11.37285509060272,-11.459603192804183,-11.282810445809831
83,-11.312623368233886,-11.295944881040429,-11.376353928411206,-11.213076898008161
84,-10.791004791124232,-10.837393586148895,-10.906420142788727,-10.7657286644315
85,-11.460289500287292,-11.451675286863301,-11.5351879448626,-11.365354152670665
86,-11.876902595971393,-11.832159269857561,-11.957916020780276,-11.70052609936742
87,-11.938581419719513,-11.875168216163521,-11.997314940942804,-11.74680966220946
88,-11.408147785966065,-11.426350709672285,-11.51213302295074,-11.337484662324139
89,-11.197872623951069,-11.21659609590688,-11.299775313184977,-11.13356574095756
90,-11.236689547206057,-11.231141554283527,-11.323873818904175,-11.140051221875781
91,-11.052738635739194,-11.101657888504722,-11.17653503886531,-11.025461475476092
92,-12.010123542985676,-11.873569272470712,-11.984435242847916,-11.761771109520854
93,-11.426674526046996,-11.521523316582453,-11.630248259601457,-11.407470342619169
94,-12.165799826166026,-12.067124168602666,-12.199714931344557,-11.93402769448938
95,-12.168899235221497,-12.134254528692415,-12.256219122641012,-11.996082786430362
96,-10.941138431289472,-10.976807989972041,-11.045972714670906,-10.909410846570703
97,-11.662724035030397,-11.60898212419782,-11.702848804811826,-11.511058764268867
98,-11.455146813573858,-11.484858075585496,-11.572498987191786,-11.39694001386502
99,-11.75314636475203,-11.748757453650938,-11.853837229814545,-11.641848094854947
100,-12.052232969967655,-11.935209753995853,-12.071075006431784,-11.796115705147717
