day,lpobs,mu,low,high
0,-8.580119526583335,-8.573768432035713,-8.633199161581837,-8.51589331564043
1,-8.442695699014774,-8.438807624710066,-8.461216271531619,-8.416715509951402
2,-7.955050858876562,-7.9601529738640835,-7.979987303803356,-7.940277948457682
3,-8.101903639163048,-8.09787241175424,-8.1179898838523,-8.077208558852936
4,-7.784249700521784,-7.785603247504489,-7.800358514175437,-7.770632495020019
5,-7.454560451372198,-7.4564945083506,-7.468460721904347,-7.444036076271258
6,-7.775238105565632,-7.773719859363803,-7.788116385850117,-7.7593952970959545
7,-7.6757184977567965,-7.677570121711884,-7.691777582100062,-7.663522248010129
8,-7.9725600757016695,-7.969102057107657,-7.984254864239182,-7.953507402986514
9,-7.752628295115656,-7.752099223493945,-7.769130697035453,-7.734325920183096
10,-7.449246201217336,-7.450732133480015,-7.464065505834743,-7.436843033984818
11,-7.404124483253294,-7.406013948564785,-7.417614320589525,-7.3938372482682375
12,-8.1122365421797,-8.107710839287561,-8.125469997778305,-8.090036437927324
13,-7.929275630373628,-7.9304845335398975,-7.9459504831718775,-7.915248948316945
14,-7.746019351570719,-7.749639269575204,-7.763003606719575,-7.736273916446828
15,-8.30541827252557,-8.299345700576785,-8.318726098264367,-8.279646859561735
16,-7.988897754859611,-7.9936225188303185,-8.013111182428922,-7.975898738048905
17,-8.132587195186728,-8.128236354645168,-8.149606257789568,-8.105496958194912
18,-7.658262197932049,-7.662332037365349,-7.675503640774495,-7.649521706679116
19,-7.941198889054353,-7.940285323476419,-7.955997700146399,-7.9244834248320695
20,-7.82359073482009,-7.825853966766772,-7.840880794715173,-7.810790510273396
21,-8.067678984779368,-8.063818352703562,-8.082491412181337,-8.045197433197163
22,-7.703665911385188,-7.70305938004462,-7.718418400903741,-7.6872475020430855
23,-7.284961685023049,-7.290169809932162,-7.304056819863002,-7.275606050941561
24,-8.078559484859811,-8.071650913419884,-8.093519432939225,-8.048940401399388
25,-7.88609497858973,-7.889132109123581,-7.9066623227969925,-7.871899237665258
26,-8.071548179651323,-8.073337368973387,-8.09233145265133,-8.055307317374766
27,-8.476387853479615,-8.471266231527828,-8.49645519376944,-8.446917819286591
28,-8.181396636491176,-8.178828307380414,-8.199128656233288,-8.157214357390782
29,-7.636201261275765,-7.643446234232697,-7.662252991365098,-7.623829060585194
30,-8.063169454832183,-8.064215345179875,-8.085650920126284,-8.042292124492842
31,-8.538381804177618,-8.524107499229176,-8.551491537505564,-8.495690961728044
32,-7.978747188482478,-7.984977581482193,-8.003004370802287,-7.966172707246754
33,-8.341657204549588,-8.33775998923159,-8.359710482990486,-8.315044753234345
34,-8.305953736555297,-8.300758666674977,-8.321500439877452,-8.278125282969073
35,-7.770708204438697,-7.773150215154865,-7.790329687481179,-7.755643877978043
36,-7.640925025969736,-7.6415437686849765,-7.65827776300763,-7.624882364372819
37,-7.673183146473849,-7.672552011104061,-7.690724422603807,-7.653858795020811
38,-7.6296047250493775,-7.631861045494407,-7.648589201994831,-7.614784469358805
39,-7.905527939394701,-7.902001573384781,-7.918396259675048,-7.885670443288481
40,-7.593948606653607,-7.595027213456451,-7.607620753045556,-7.582319409864604
41,-7.788860285420499,-7.788004414143337,-7.80270662033847,-7.77309945038966
42,-7.815718322826948,-7.81427575327758,-7.8287356282182134,-7.799275646097705
43,-7.54882860435138,-7.548997149417399,-7.563472562588844,-7.534608670522699
44,-7.487447040540987,-7.489691859597453,-7.506823033317003,-7.4733923101217234
45,-7.626462407082395,-7.6290632175771576,-7.645236273426521,-7.612546939348416
46,-8.226607900925504,-8.218215438633505,-8.237704548544729,-8.198318031110897
47,-7.07262938741287,-7.074946147754079,-7.085584290348874,-7.064355586807045
48,-6.869897461432895,-6.871604760865706,-6.88190318263628,-6.861876563765253
49,-7.520108733475486,-7.519094896820802,-7.531979617494194,-7.505923907985973
50,-7.759272452900869,-7.75871488487848,-7.774085374925316,-7.742404765436067
51,-7.915390791391007,-7.913344598218114,-7.93059208372982,-7.895176411947665
52,-7.675707019674844,-7.679299403609634,-7.695336852152657,-7.662548523500717
53,-7.924231539223927,-7.9230937180979915,-7.939844733663055,-7.905995804620025
54,-7.793819537866754,-7.794368444376695,-7.81038877900396,-7.778722115662226
55,-7.762430633395418,-7.765491021823087,-7.7804205979961925,-7.750911096099655
56,-8.269720918872295,-8.26717493775754,-8.287096930316249,-8.247304996200784
57,-8.42169912448555,-8.422232710808975,-8.445008911895718,-8.400728145928559
58,-8.616152696062779,-8.606233280371903,-8.634332275557217,-8.577595714433958
59,-8.05133991732759,-8.05882423978806,-8.080485272175636,-8.037401857597716
60,-8.150966773216807,-8.147724173038519,-8.166356521280367,-8.128255651724142
61,-7.854049884277432,-7.8584703525911825,-7.874051810359305,-7.843193905721028
62,-8.319331151049496,-8.315364139611686,-8.335413009267207,-8.295162760425889
63,-8.335914792702999,-8.335262188534093,-8.353802582484256,-8.315406892497265
64,-8.28722753251632,-8.282637348796703,-8.302052151789425,-8.263373114298664
65,-7.695334826183822,-7.702383865088352,-7.719797197911884,-7.68395780493093
66,-8.180867149558782,-8.17861943711054,-8.199515966452264,-8.156680373496888
67,-8.393009232076718,-8.39001694978396,-8.411789144186534,-8.368422421834131
68,-8.33115849043414,-8.32854629992853,-8.34773452251239,-8.308241995515434
69,-7.97030471632312,-7.970554270365275,-7.987069871654164,-7.95396257356157
70,-7.550010194052845,-7.553779211783265,-7.567517457739239,-7.540501912831409
71,-7.997859621741212,-7.996049017984061,-8.012719063613684,-7.980401492494579
72,-8.092916848093793,-8.090955282232871,-8.113471325916208,-8.067983340506792
73,-7.8834414668418376,-7.886870232358098,-7.906485041701092,-7.867077589556423
74,-8.05938821148818,-8.056850830869115,-8.07508912698507,-8.037776767575359
75,-7.808804860959716,-7.810542903709884,-7.825241064042835,-7.795268712670642
76,-7.90766171885572,-7.9095694846781806,-7.925215931562204,-7.893084971715363
77,-8.195420536705644,-8.188548892402462,-8.206642758898878,-8.169898374868193
78,-7.621145996475889,-7.624760938148945,-7.639229140075486,-7.61004250515583
79,-7.687955613436823,-7.686707802998474,-7.704258297822209,-7.668887323957986
80,-7.457434662214711,-7.46165142732678,-7.477051568499917,-7.4463703237764
81,-7.859414958899367,-7.853709636084306,-7.871622679613156,-7.83607024521104
82,-7.383472236927057,-7.384991426529638,-7.397369414306702,-7.3723744739091
83,-7.296076560731479,-7.296220091057385,-7.308950783040139,-7.2839872014933285
84,-7.422210833516735,-7.4240997453939706,-7.436657334744909,-7.411285079201643
85,-7.916558811889594,-7.913611952598585,-7.930737771525021,-7.896760993380665
86,-7.967491694771171,-7.9687304711752605,-7.98765022071154,-7.949299761503067
87,-8.188008396600237,-8.183139030707318,-8.203952833758807,-8.162091148626256
88,-7.872031086404538,-7.872557423096813,-7.888868724005876,-7.855773512539026
89,-7.508602621111216,-7.511479737252258,-7.52328364074415,-7.49942041811938
90,-7.81762004077778,-7.816870112528072,-7.832267797896467,-7.800874375398254
91,-7.882834809753173,-7.884256026618354,-7.900268958828478,-7.866982283338128
92,-8.039133061469414,-8.03942722389487,-8.058074743124562,-8.020838802421862
93,-8.1796278242121,-8.181405744410593,-8.203242337321129,-8.16019915900135
94,-8.469594331960018,-8.465650630524456,-8.48848269621717,-8.442147035387759
95,-8.56528443276225,-8.564279899205845,-8.585113631874915,-8.543491032454686
96,-8.377683842417165,-8.376489021637713,-8.39604028083482,-8.35701363608249
97,-8.093191338549028,-8.095393263136446,-8.11321665106237,-8.077589325810692
98,-8.014975297479928,-8.017482422827948,-8.03454691090388,-7.999768079463512
99,-8.34030532265781,-8.339685698010406,-8.358862467473315,-8.32023506466495
100,-8.468714031511544,-8.467708198215414,-8.493135257723385,-8.44199479670329
101,-8.41723968027311,-8.41501537772506,-8.435936799692847,-8.392997414448894
102,-8.091264959610482,-8.094775994263962,-8.113068648956041,-8.076970964362657
103,-8.133992196141135,-8.135146316115653,-8.15237277492554,-8.117057479368533
104,-8.134317404313656,-8.129173591015862,-8.148118177854158,-8.109856340244093
105,-7.174713271968107,-7.176988955127176,-7.188006964596383,-7.165962092846701
106,-7.165566286523734,-7.166628228688572,-7.177165175035026,-7.154806415848501
107,-7.438162719453119,-7.43901062220088,-7.453195652361463,-7.4239541072169
108,-7.904505600699815,-7.898589697507269,-7.91694647117932,-7.878992288168678
109,-7.607472628988345,-7.609131802989771,-7.622684062095709,-7.594662344088791
110,-7.56854653643275,-7.567785100838786,-7.580920936899141,-7.554932103281857
111,-7.302371023254262,-7.3030716724797236,-7.3151961224940525,-7.290850900203347
112,-7.261631947234971,-7.26313072106762,-7.274237589892408,-7.252464567450793
113,-7.765078594840919,-7.76307903628757,-7.7782018088978875,-7.747217771700304
114,-7.602947571842528,-7.601609784882103,-7.6180570874648215,-7.585789381767427
115,-6.939950116552897,-6.942439035143159,-6.954799796654882,-6.929981302239153
116,-7.2324220734610964,-7.231818385758108,-7.24350929848741,-7.220085749528428
117,-7.064777785363643,-7.066062284615124,-7.075998088035744,-7.055832644609855
118,-7.507100336843873,-7.506582554151905,-7.519268890603614,-7.494477662581889
119,-7.792537457087873,-7.793661487628234,-7.80788084030946,-7.778983884786413
120,-8.33356424810679,-8.327705437076515,-8.347736260589105,-8.307293933291529
121,-8.03937703347795,-8.043058761922738,-8.065195720481722,-8.02064970785873
122,-8.032049192249188,-8.029278707319856,-8.051833724293534,-8.007354088523266
123,-7.612018247866622,-7.613825746510341,-7.628187123664167,-7.599216395103146
124,-7.673373011820851,-7.673467535819588,-7.687539256744884,-7.658487538302008
125,-7.8417554740540645,-7.842051997293077,-7.857275749839361,-7.8260873208919675
126,-7.849916411460256,-7.849582094131223,-7.864788450642147,-7.833990126796917
127,-7.839306397783549,-7.838089123522637,-7.85440629671899,-7.822184387284914
128,-7.774344253482903,-7.777706860314477,-7.795963888131913,-7.759019632963513
129,-8.274953287023065,-8.272812726044462,-8.296513904998704,-8.247598339161888
130,-8.422643670691036,-8.418162245990283,-8.43993807069364,-8.39685319331914
131,-7.942821155918748,-7.946321445297334,-7.962964558692501,-7.929941582642721
132,-8.119772665739134,-8.119161652393329,-8.135656897146475,-8.102776407221002
133,-8.242640790013327,-8.242220000056342,-8.261987776371761,-8.223009857216054
134,-8.291187609678751,-8.291573505555272,-8.313328862350376,-8.269840367260677
135,-8.287653247618522,-8.284403679998382,-8.308514516819116,-8.260586448020774
136,-7.8797153814759975,-7.885714534894066,-7.905193526445359,-7.866913045667791
137,-8.041782698665374,-8.042850503440121,-8.06037234861599,-8.024981869720898
138,-8.306142446332842,-8.302812422414743,-8.323847962496012,-8.282362980083981
139,-8.209091150739349,-8.209465386478456,-8.22747836138817,-8.191976562795663
140,-8.137194437527548,-8.136537386265019,-8.154961049075965,-8.117432640993115
141,-8.023867123879802,-8.022937501362158,-8.041542407183009,-8.003843178893298
142,-7.65558599570568,-7.658782975434312,-7.678255095680203,-7.639015507912135
143,-7.720754510083435,-7.7208404117464555,-7.740948285370917,-7.700650749213089
144,-7.714824682571372,-7.717474721432571,-7.733729097817817,-7.701693058639961
145,-8.036805136235143,-8.034438408226551,-8.05197106534417,-8.016241912081917
146,-7.991916685096341,-7.991871251976327,-8.008582027634482,-7.975180025688484
147,-7.966550263795705,-7.962009880826385,-7.979696160581624,-7.944268078463658
148,-7.074495566762657,-7.075823993346304,-7.086262587540028,-7.064614908250508
149,-6.697360418416107,-6.699968212373618,-6.711555977370526,-6.688372659569543
150,-7.226192636096586,-7.224546223789508,-7.238233472981279,-7.210362693912359
151,-7.494593111685872,-7.495369573428869,-7.509143800213195,-7.48099289900779
152,-8.456163406971179,-8.449977027904227,-8.471886887480476,-8.428767818978745
153,-8.381417915268512,-8.378099328118054,-8.400305822007109,-8.356101538818915
154,-8.01297106276527,-8.015589417710151,-8.031808014748659,-7.999015662358297
155,-8.048850980672924,-8.048441498934622,-8.067190698397482,-8.030115230102425
156,-7.9710871169947755,-7.965530246141387,-7.986314323911457,-7.944633501435288
