day,lpobs,mu,low,high
0,-7.865949349367096,-7.861945826746334,-7.904672220934609,-7.8191168395719455
1,-7.9840962447434976,-7.978799715844451,-7.997955061923968,-7.959393046586735
2,-7.444609465549046,-7.4534297191201215,-7.469744508365651,-7.437223591796846
3,-7.760205448495044,-7.760954542766208,-7.779216531060003,-7.742267437065823
4,-8.069718625483754,-8.063274325734538,-8.080472446767597,-8.045897660171972
5,-7.867947500026102,-7.868417657994737,-7.883115183543791,-7.852832535344114
6,-7.748475876531937,-7.750493668685916,-7.764522357368994,-7.735969796948783
7,-7.879291054722729,-7.880951634056504,-7.897465778430952,-7.8645313445799525
8,-8.157079542615115,-8.151420565676505,-8.170381069246101,-8.132389686184286
9,-8.032750100094047,-8.036991339723235,-8.057507042636022,-8.01763670231605
10,-8.147660175021116,-8.141249633076841,-8.160481452761175,-8.122008759933934
11,-7.917080778106063,-7.914228966034523,-7.930016864142579,-7.89836984646157
12,-7.291513170717573,-7.29368183652902,-7.305017552714762,-7.2821932088699874
13,-7.1217910055663705,-7.122927460207272,-7.133818272949171,-7.112178503745896
14,-7.102819433561108,-7.102368067018201,-7.113040908323206,-7.0912149163167175
15,-6.806313214071107,-6.8075493150171775,-6.81720646718264,-6.797790613673779
16,-6.786054993532605,-6.787409003965192,-6.797606604447129,-6.776670444930232
17,-7.063271165196149,-7.062303312427836,-7.074305202050156,-7.049721784277804
18,-7.263709835024149,-7.260420845332678,-7.271691313981768,-7.248782896547932
19,-6.885220225977226,-6.887235469229207,-6.898022473024206,-6.87629641173543
20,-6.979567774453413,-6.981625208895506,-6.9917725096938685,-6.971622436679109
21,-7.7037144193612574,-7.703945147387682,-7.7190499635736245,-7.689090765885623
22,-8.263994272701689,-8.249166336724024,-8.267555395438134,-8.229408569059487
23,-7.60417268940832,-7.608005495798492,-7.624842414361119,-7.590448006221876
24,-7.286941284521458,-7.290737395885172,-7.306367642604113,-7.27568210151907
25,-7.459774643897875,-7.457461964477461,-7.471176277226193,-7.443352133131763
26,-7.141612066569504,-7.144844168998174,-7.156242429911017,-7.133324488898369
27,-7.504765748857826,-7.502185111137559,-7.516165269265839,-7.488321980660098
28,-8.506491307295663,-8.515526058026607,-8.540442505559268,-8.490438418277318
29,-8.84091837104327,-8.790177234948041,-8.82251003805985,-8.755768461223669
30,-8.06426456395774,-8.075703496571634,-8.095506182800426,-8.056546059730703
31,-8.038423172902332,-8.034461803448682,-8.056161695460643,-8.013011395194914
32,-7.576962222245245,-7.581541903745352,-7.596175949269672,-7.566552086480999
33,-7.526796727513033,-7.532234048971424,-7.548095451477039,-7.516859480968517
34,-7.966271435864497,-7.963691397711108,-7.981007529430199,-7.946275323095497
35,-8.125538661623441,-8.120117755343689,-8.14080665811729,-8.100137832733795
36,-8.038421850542901,-8.029576982637852,-8.050369315870473,-8.007349651255765
37,-7.311784321856138,-7.3197550283700386,-7.335371317438976,-7.30352946363759
38,-7.3822456497664,-7.384014947731637,-7.399025475110058,-7.369482513922567
39,-7.603043866774706,-7.601874055533976,-7.615995792575192,-7.587839940565857
40,-7.654146250473889,-7.65423566487095,-7.66794746817795,-7.640328687821761
41,-7.670670795732041,-7.673892084696411,-7.687265386047113,-7.6597667805079075
42,-8.07671701970554,-8.071003254034675,-8.08809624260479,-8.054939677978298
43,-7.934648315559477,-7.927810665244555,-7.9445875197628695,-7.910196820039607
44,-7.223828393040682,-7.229722839972018,-7.245371952150855,-7.213913946994333
45,-7.242528837810437,-7.24472758214024,-7.260053119748738,-7.229995130898269
46,-8.07111554960799,-8.071116910414602,-8.089959989028005,-8.052519777719192
47,-8.109428843441295,-8.10434277972936,-8.12163010645449,-8.086230635628592
48,-7.98879887276344,-7.985858431104488,-8.002763610994249,-7.968392903086132
49,-7.6287351720798044,-7.6289057246472645,-7.6436135685357955,-7.614076798452048
50,-7.241869589274693,-7.245942149416564,-7.257360044033376,-7.2347954686953155
51,-7.906510746765512,-7.89740491464473,-7.914663089930732,-7.879937696196908
52,-7.580210033237181,-7.581748429108456,-7.597914275179584,-7.5658284585459175
53,-7.401711750437154,-7.402229515938038,-7.415628785219094,-7.388646737926903
54,-7.197715947888126,-7.200744620019697,-7.211532410995003,-7.189676798762254
55,-7.562955469021102,-7.56343336053342,-7.577404760380798,-7.549172164728062
56,-7.913347892407373,-7.902529894650692,-7.919233218280196,-7.886324057594293
57,-7.233571027283949,-7.2364932996475275,-7.249658028187509,-7.22284225765463
58,-7.137153043450656,-7.138952538412699,-7.153474579866731,-7.12508248312626
59,-7.087002241215107,-7.090893389079393,-7.10393701816458,-7.077289997547143
60,-7.6279428738968065,-7.620534514009525,-7.635998159119797,-7.604664266562537
61,-7.234534281245517,-7.236058569346731,-7.247472876255998,-7.224293539709825
62,-7.097895171487343,-7.099328534495648,-7.110280626035118,-7.088521377197844
63,-7.180414121510549,-7.181188512212028,-7.192134569150388,-7.1697144099330155
64,-7.362081837297574,-7.359930095294027,-7.372253026767174,-7.347789339170836
65,-7.222907102264655,-7.221857740308084,-7.235019135073585,-7.20783678020309
66,-6.841735713005623,-6.845350143457864,-6.8564170911688525,-6.834140675292987
67,-7.153766319197234,-7.155084809959029,-7.165602663211615,-7.144197528177103
68,-7.703533278940727,-7.699857242419813,-7.714179555958076,-7.684481915484059
69,-7.783326716473019,-7.781758396329214,-7.796278451327494,-7.767212667587804
70,-7.72675168700563,-7.727686318231134,-7.742366531150871,-7.713544099620805
71,-7.9259894704065825,-7.9164151259896975,-7.932946186968875,-7.899928473174113
72,-7.177905621779505,-7.183617162393122,-7.1972474514729345,-7.170043225143833
73,-7.226332767472664,-7.227601139035643,-7.240897907493549,-7.214338216470775
74,-7.38634644523041,-7.385554625751614,-7.398490616367672,-7.372795233659216
75,-7.528385397366047,-7.527574761327417,-7.540743470913776,-7.5140944325721115
76,-7.495710129420718,-7.496721929043581,-7.509300099429713,-7.483758409596036
77,-7.740160532670322,-7.738211908208054,-7.753515572425384,-7.722927845267542
78,-7.806792532671612,-7.801675052679993,-7.818377248114202,-7.784432535860692
79,-7.3290658464199865,-7.331142569665162,-7.345794787387466,-7.316127288663206
80,-7.0124616622467135,-7.0173709715099415,-7.0292035120004375,-7.00580094622498
81,-7.646172762830348,-7.640078919837743,-7.655845676021388,-7.62469658008684
82,-7.463835360407731,-7.462160735843758,-7.4747770491470575,-7.449736787769839
83,-7.0443052557000545,-7.047134973711031,-7.057292329957277,-7.037217660722896
84,-7.18543341041594,-7.184178158461082,-7.1951636565659305,-7.1726450347285935
85,-6.931372908304214,-6.9321291732784,-6.942308839136462,-6.922097562888431
86,-6.808186317550192,-6.809312477035016,-6.820755409468976,-6.797897242922336
87,-6.9454496905243746,-6.94646610263769,-6.958465782625343,-6.934629991162869
88,-7.177840462948163,-7.1762294861751865,-7.187102914349416,-7.165227538763439
