day,lpobs,mu,low,high
1,-12.057942285417257,-12.027740492579538,-12.155730977043326,-11.887740454920795
2,-10.418762253229355,-10.448306292879387,-10.518084207076631,-10.37799147111058
3,-12.01794355762558,-11.816483428419387,-11.944802760932406,-11.683384460336487
4,-10.51696248770689,-10.537713632659548,-10.594779404176032,-10.479717368719287
5,-10.897509638098498,-10.878706008646905,-10.947777162417191,-10.808811666120521
6,-9.868412828797055,-9.87919599905576,-9.922724399607194,-9.835240155624517
7,-9.757080419858449,-9.766097259004349,-9.807631117032987,-9.72454572741957
8,-10.173151470362361,-10.186161941696975,-10.238973538563613,-10.135620749480571
9,-11.265170150070006,-11.214834176432454,-11.309544398528434,-11.123895599373292
10,-11.04418579849166,-11.06449526290595,-11.140660604910602,-10.986531307084288
11,-11.467565279616737,-11.467979606061993,-11.557622693840042,-11.377532058471076
12,-11.730427179793505,-11.688514820252374,-11.780481407342336,-11.59140704354215
13,-10.976521898377712,-11.007102379175194,-11.077457418599904,-10.93257413949361
14,-11.12939346890512,-11.154979808740599,-11.232395073245803,-11.07324033604774
15,-12.08279388600997,-11.96006803303221,-12.073352858994369,-11.843501144843
16,-11.220113286300089,-11.240405484046669,-11.335914625348659,-11.144317004572061
17,-11.10417189456747,-11.100458775295909,-11.186145070570154,-11.010256368821677
18,-10.543764886375941,-10.554604853996869,-10.615515126256748,-10.494076464830048
19,-10.396002763566951,-10.40286938552976,-10.458000442322124,-10.344178622904739
20,-10.165418021270396,-10.181996182142006,-10.22977430827713,-10.132219662316427
21,-11.129722233937926,-11.098518584826278,-11.172054870379952,-11.021381626676334
22,-10.82548042323861,-10.83283162729882,-10.89988685536667,-10.76311342121945
23,-10.83543055581973,-10.862527229390706,-10.942435609733229,-10.778336114577751
24,-11.060181035170134,-11.087749567357479,-11.189450835179164,-10.985878385898342
25,-12.129347472227215,-11.97157826868374,-12.085189072830328,-11.844813040834403
26,-11.076651726896209,-11.104813008616153,-11.18234394142852,-11.024644313202604
27,-10.660860372844558,-10.717263078209779,-10.790618423907704,-10.644072470601156
28,-12.020166672384509,-11.985718047386522,-12.111879068530037,-11.850445969355215
29,-14.072026987897855,-12.930436517395574,-13.137095430174906,-12.706142456423802
30,-12.130774327186398,-12.177873146223265,-12.318788001542357,-12.028798002405576
31,-12.320416955026175,-12.228283966581008,-12.38419067564589,-12.06815009239974
32,-10.933024722874343,-11.007199876772466,-11.089235866788417,-10.925761611054506
33,-12.482154191304302,-12.26231056634973,-12.402570539296045,-12.117752328565736
34,-11.491896395901705,-11.515393986491553,-11.614806435936812,-11.411037822760811
35,-11.06191669252825,-11.111302898279515,-11.19375295267293,-11.025942115624714
36,-11.912742988787036,-11.764665416685938,-11.895003755351219,-11.640215303114669
37,-10.885813934291132,-10.909600239187814,-10.999100851441302,-10.810622248089386
38,-10.403730419422805,-10.438828572586319,-10.504416216569641,-10.368113838518683
39,-10.994736764125298,-10.982073172816444,-11.05563905648441,-10.908899677140184
40,-11.17840372489327,-11.142722488230127,-11.220481361469428,-11.06195008738297
41,-9.57707697619409,-9.592885821375198,-9.629856577222215,-9.555463115985518
42,-10.552093304642847,-10.54691567152279,-10.604362246191975,-10.48615844172376
43,-10.502179985624487,-10.505367528164902,-10.56472794704918,-10.446806487728832
44,-10.809294751781188,-10.802206249073214,-10.885437529522285,-10.717773269154861
